familyName,givenName,gender,affiliatedTo,dbpediaURI,yagoURI
Wynn,Albert,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Albert_Wynn,http://yago-knowledge.org/resource/Albert_Wynn
Fattah,Chaka,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Chaka_Fattah,http://yago-knowledge.org/resource/Chaka_Fattah
Roberts,David,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/David_Roberts_(mayor),http://yago-knowledge.org/resource/David_Roberts_(mayor)
Naughton,Eileen,http://yago-knowledge.org/resource/female,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Eileen_S._Naughton,http://yago-knowledge.org/resource/Eileen_S._Naughton
Corzine,Jon,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Jon_Corzine,http://yago-knowledge.org/resource/Jon_Corzine
Patterson,Obie,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Obie_Patterson,http://yago-knowledge.org/resource/Obie_Patterson
Tong,William,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/William_Tong,http://yago-knowledge.org/resource/William_Tong
Dooley,Cal,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Cal_Dooley,http://yago-knowledge.org/resource/Cal_Dooley
Calloway,Don,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Don_Calloway,http://yago-knowledge.org/resource/Don_Calloway
Dilan,Erik,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Erik_Martin_Dilan,http://yago-knowledge.org/resource/Erik_Martin_Dilan
Stroger,John,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/John_Stroger,http://yago-knowledge.org/resource/John_Stroger
Becker,Ralph,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Ralph_Becker_(mayor),http://yago-knowledge.org/resource/Ralph_Becker_(mayor)
Gammage,Robert,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Robert_Gammage,http://yago-knowledge.org/resource/Robert_Gammage
Oden,Ron,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Ron_Oden,http://yago-knowledge.org/resource/Ron_Oden
Ryan,Tim,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Democratic_Party_(United_States),http://dbpedia.org/resource/Tim_Ryan_(politician),http://yago-knowledge.org/resource/Tim_Ryan_(politician)
